case_id,customer_id,case_type,created_date,lookback_days,case_age_days,reviewed_txn_count,reviewed_amount,high_risk_txn_count,red_flag_count,primary_red_flag,case_risk_score,priority,disposition,sar_flag,customer_name,customer_type,country,kyc_risk,pep_flag,expected_monthly_volume,investigation_summary,sar_decision_reason
CASE0071,CUST10398,Structuring / Cash Activity,2026-08-21,90,14,10,45192.73,0,4,Funnel Activity,74,High,Escalate for Additional Review,0,Customer 0399,Individual,United States,Low,0,21147.34,Reviewed 10 transactions over a 90-day lookback. Observed funnel activity indicators and 0 high-risk transactions. Customer KYC risk is low with case risk score 74.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0072,CUST10823,P2P / Funnel Activity,2026-04-18,30,36,30,207715.25,8,0,Activity Inconsistent with Profile,51,Moderate,Close - No Suspicion,0,Customer 0824,Individual,United States,Low,0,2105.08,Reviewed 30 transactions over a 30-day lookback. Observed activity inconsistent with profile indicators and 8 high-risk transactions. Customer KYC risk is low with case risk score 51.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0073,CUST10016,Business Activity Inconsistent with Profile,2026-04-01,30,23,114,83522.41,6,3,Activity Inconsistent with Profile,42,Low,Escalate for Additional Review,0,Customer 0017,Business,United States,Moderate,0,26898.99,Reviewed 114 transactions over a 30-day lookback. Observed activity inconsistent with profile indicators and 6 high-risk transactions. Customer KYC risk is moderate with case risk score 42.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0074,CUST10046,Business Activity Inconsistent with Profile,2026-01-16,60,8,27,11085.13,5,4,Activity Inconsistent with Profile,36,High,Close - No Suspicion,0,Customer 0047,Business,Russia,Low,0,6916.76,Reviewed 27 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 36.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0075,CUST10145,High-Risk Wires,2026-08-19,90,42,90,50510.47,5,1,Unusual Volume,64,Moderate,Escalate for Additional Review,0,Customer 0146,Individual,Mexico,Low,0,14414.09,Reviewed 90 transactions over a 90-day lookback. Observed unusual volume indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 64.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0076,CUST10444,Rapid Movement of Funds,2026-03-29,90,32,60,94731.24,6,5,Funnel Activity,43,High,Close - No Suspicion,0,Customer 0445,Individual,Mexico,Low,0,3140.61,Reviewed 60 transactions over a 90-day lookback. Observed funnel activity indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 43.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0077,CUST10015,Unusual Volume Increase,2026-08-10,180,36,13,17794.81,4,8,Rapid Movement,62,Critical,SAR Filed,1,Customer 0016,Business,United Kingdom,High,0,6754.45,Reviewed 13 transactions over a 180-day lookback. Observed rapid movement indicators and 4 high-risk transactions. Customer KYC risk is high with case risk score 62.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0078,CUST10611,Structuring / Cash Activity,2026-06-01,90,10,71,22041.76,17,1,Funnel Activity,36,Low,Close - No Suspicion,0,Customer 0612,Individual,United States,Low,0,2812.37,Reviewed 71 transactions over a 90-day lookback. Observed funnel activity indicators and 17 high-risk transactions. Customer KYC risk is low with case risk score 36.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0079,CUST10570,Rapid Movement of Funds,2026-09-03,60,31,53,37612.54,12,2,High-Risk Jurisdiction,70,High,Close - No Suspicion,0,Customer 0571,Individual,United States,High,0,21302.14,Reviewed 53 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 12 high-risk transactions. Customer KYC risk is high with case risk score 70.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0080,CUST10408,Unusual Volume Increase,2026-08-03,60,3,77,34226.48,14,1,Funnel Activity,57,Moderate,Close - No Suspicion,0,Customer 0409,Individual,United States,High,0,14395.43,Reviewed 77 transactions over a 60-day lookback. Observed funnel activity indicators and 14 high-risk transactions. Customer KYC risk is high with case risk score 57.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0081,CUST10770,Structuring / Cash Activity,2026-01-10,60,29,24,30987.01,0,1,High-Risk Jurisdiction,64,Moderate,Escalate for Additional Review,0,Customer 0771,Individual,United States,Low,0,6749.84,Reviewed 24 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 0 high-risk transactions. Customer KYC risk is low with case risk score 64.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0082,CUST10195,P2P / Funnel Activity,2026-03-03,90,15,83,21967.1,24,5,Funnel Activity,40,High,Close - No Suspicion,0,Customer 0196,Individual,Turkey,Moderate,0,1262.97,Reviewed 83 transactions over a 90-day lookback. Observed funnel activity indicators and 24 high-risk transactions. Customer KYC risk is moderate with case risk score 40.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0083,CUST10558,Structuring / Cash Activity,2026-01-28,30,15,66,464638.01,14,0,Structuring,57,Moderate,Close - No Suspicion,0,Customer 0559,Business,United States,High,0,8594.17,Reviewed 66 transactions over a 30-day lookback. Observed structuring indicators and 14 high-risk transactions. Customer KYC risk is high with case risk score 57.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0084,CUST10114,High-Risk Wires,2026-02-25,90,35,66,44445.46,8,4,High-Risk Jurisdiction,72,High,Escalate for Additional Review,0,Customer 0115,Individual,United Kingdom,Moderate,0,41632.81,Reviewed 66 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 8 high-risk transactions. Customer KYC risk is moderate with case risk score 72.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0085,CUST10005,High-Risk Wires,2026-05-17,60,20,30,67599.45,4,3,Structuring,39,Low,Escalate for Additional Review,0,Customer 0006,Individual,Mexico,Low,0,12406.14,Reviewed 30 transactions over a 60-day lookback. Observed structuring indicators and 4 high-risk transactions. Customer KYC risk is low with case risk score 39.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0086,CUST10650,Business Activity Inconsistent with Profile,2026-04-23,60,32,50,21358.51,7,0,Funnel Activity,44,Low,Close - No Suspicion,0,Customer 0651,Individual,Canada,Low,0,14572.58,Reviewed 50 transactions over a 60-day lookback. Observed funnel activity indicators and 7 high-risk transactions. Customer KYC risk is low with case risk score 44.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0087,CUST10303,Unusual Volume Increase,2026-05-01,60,11,37,43124.18,6,0,Unusual Volume,43,Low,Close - No Suspicion,0,Customer 0304,Business,United States,Low,0,6884.64,Reviewed 37 transactions over a 60-day lookback. Observed unusual volume indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 43.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0088,CUST10137,Structuring / Cash Activity,2026-08-18,30,41,76,65146.59,6,4,High-Risk Jurisdiction,39,High,Close - No Suspicion,0,Customer 0138,Individual,United States,Low,0,15937.72,Reviewed 76 transactions over a 30-day lookback. Observed high-risk jurisdiction indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 39.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0089,CUST10169,Unusual Volume Increase,2026-05-31,90,9,55,66614.86,8,4,Funnel Activity,73,High,Escalate for Additional Review,0,Customer 0170,Business,India,Moderate,0,74478.25,Reviewed 55 transactions over a 90-day lookback. Observed funnel activity indicators and 8 high-risk transactions. Customer KYC risk is moderate with case risk score 73.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0090,CUST10198,Structuring / Cash Activity,2026-06-11,90,37,8,15691.59,2,1,Funnel Activity,55,Moderate,Close - No Suspicion,0,Customer 0199,Individual,United Arab Emirates,Low,0,3302.67,Reviewed 8 transactions over a 90-day lookback. Observed funnel activity indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 55.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0091,CUST10300,Structuring / Cash Activity,2026-05-19,60,20,50,102333.69,5,2,Unusual Volume,44,Low,Close - No Suspicion,0,Customer 0301,Business,United Arab Emirates,Low,0,4107.43,Reviewed 50 transactions over a 60-day lookback. Observed unusual volume indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 44.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0092,CUST10099,P2P / Funnel Activity,2026-07-09,60,2,10,45527.6,4,3,Funnel Activity,48,Low,Close - No Suspicion,0,Customer 0100,Individual,China,Moderate,0,10632.02,Reviewed 10 transactions over a 60-day lookback. Observed funnel activity indicators and 4 high-risk transactions. Customer KYC risk is moderate with case risk score 48.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0093,CUST10329,Rapid Movement of Funds,2026-01-12,30,8,16,125092.43,0,2,Structuring,47,Low,Close - No Suspicion,0,Customer 0330,Individual,United States,Low,0,16089.92,Reviewed 16 transactions over a 30-day lookback. Observed structuring indicators and 0 high-risk transactions. Customer KYC risk is low with case risk score 47.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0094,CUST10367,P2P / Funnel Activity,2026-03-06,30,14,115,15823.16,28,4,Activity Inconsistent with Profile,79,High,Escalate for Additional Review,0,Customer 0368,Individual,United States,High,0,1828.18,Reviewed 115 transactions over a 30-day lookback. Observed activity inconsistent with profile indicators and 28 high-risk transactions. Customer KYC risk is high with case risk score 79.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0095,CUST10447,Structuring / Cash Activity,2026-08-03,90,11,23,137432.7,3,6,Unusual Volume,46,Critical,Close - No Suspicion,0,Customer 0448,Individual,United States,Low,0,9275.09,Reviewed 23 transactions over a 90-day lookback. Observed unusual volume indicators and 3 high-risk transactions. Customer KYC risk is low with case risk score 46.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0096,CUST10455,High-Risk Wires,2026-02-20,60,16,31,235807.73,2,3,Structuring,43,Low,Escalate for Additional Review,0,Customer 0456,Business,United States,Moderate,0,18666.64,Reviewed 31 transactions over a 60-day lookback. Observed structuring indicators and 2 high-risk transactions. Customer KYC risk is moderate with case risk score 43.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0097,CUST10203,High-Risk Wires,2026-02-02,30,31,59,123650.75,1,1,High-Risk Jurisdiction,51,Moderate,Close - No Suspicion,0,Customer 0204,Individual,Mexico,Low,0,14744.87,Reviewed 59 transactions over a 30-day lookback. Observed high-risk jurisdiction indicators and 1 high-risk transactions. Customer KYC risk is low with case risk score 51.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0098,CUST10875,Structuring / Cash Activity,2026-05-21,180,21,8,146556.51,1,2,Activity Inconsistent with Profile,69,High,Close - No Suspicion,0,Customer 0876,Individual,Mexico,Low,0,17883.07,Reviewed 8 transactions over a 180-day lookback. Observed activity inconsistent with profile indicators and 1 high-risk transactions. Customer KYC risk is low with case risk score 69.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0099,CUST10104,Rapid Movement of Funds,2026-02-01,90,27,113,33505.74,18,4,Activity Inconsistent with Profile,41,High,Escalate for Additional Review,0,Customer 0105,Individual,Mexico,Low,0,16362.88,Reviewed 113 transactions over a 90-day lookback. Observed activity inconsistent with profile indicators and 18 high-risk transactions. Customer KYC risk is low with case risk score 41.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0100,CUST10746,Structuring / Cash Activity,2026-06-13,60,21,9,32110.11,3,1,Activity Inconsistent with Profile,38,Low,Escalate for Additional Review,0,Customer 0747,Business,Nigeria,Low,0,7509.61,Reviewed 9 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 3 high-risk transactions. Customer KYC risk is low with case risk score 38.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0101,CUST10281,Unusual Volume Increase,2026-03-02,60,9,104,24196.29,7,7,Structuring,62,Critical,SAR Filed,1,Customer 0282,Individual,United States,Moderate,0,2638.96,Reviewed 104 transactions over a 60-day lookback. Observed structuring indicators and 7 high-risk transactions. Customer KYC risk is moderate with case risk score 62.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0102,CUST10473,P2P / Funnel Activity,2026-09-10,60,27,95,65407.43,14,0,Activity Inconsistent with Profile,50,Moderate,Close - No Suspicion,0,Customer 0474,Individual,Canada,Low,0,10092.67,Reviewed 95 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 14 high-risk transactions. Customer KYC risk is low with case risk score 50.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0103,CUST10709,Structuring / Cash Activity,2026-02-01,90,1,64,120758.38,2,2,Structuring,56,Moderate,Escalate for Additional Review,0,Customer 0710,Individual,United States,Low,0,4403.45,Reviewed 64 transactions over a 90-day lookback. Observed structuring indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 56.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0104,CUST10336,Rapid Movement of Funds,2026-01-12,60,29,35,69262.27,5,6,High-Risk Jurisdiction,47,Critical,SAR Recommended,1,Customer 0337,Business,United Arab Emirates,Low,0,20887.79,Reviewed 35 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 47.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0105,CUST10199,Rapid Movement of Funds,2026-05-23,180,39,27,191227.21,4,1,Unusual Volume,73,High,SAR Filed,1,Customer 0200,Individual,Mexico,Low,0,3137.13,Reviewed 27 transactions over a 180-day lookback. Observed unusual volume indicators and 4 high-risk transactions. Customer KYC risk is low with case risk score 73.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0106,CUST10131,High-Risk Wires,2026-05-15,90,16,69,25169.51,6,1,Structuring,74,High,Escalate for Additional Review,0,Customer 0132,Individual,United States,Moderate,0,5068.94,Reviewed 69 transactions over a 90-day lookback. Observed structuring indicators and 6 high-risk transactions. Customer KYC risk is moderate with case risk score 74.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0107,CUST10218,Unusual Volume Increase,2026-06-30,90,14,103,25154.85,12,2,Unusual Volume,41,Low,Close - No Suspicion,0,Customer 0219,Individual,United Arab Emirates,Low,0,9466.63,Reviewed 103 transactions over a 90-day lookback. Observed unusual volume indicators and 12 high-risk transactions. Customer KYC risk is low with case risk score 41.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0108,CUST10653,High-Risk Wires,2026-07-28,60,7,98,85498.98,5,1,Unusual Volume,69,High,Escalate for Additional Review,0,Customer 0654,Individual,United States,Low,0,110733.16,Reviewed 98 transactions over a 60-day lookback. Observed unusual volume indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 69.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0109,CUST10774,Rapid Movement of Funds,2026-02-12,180,2,14,134327.3,4,4,Activity Inconsistent with Profile,76,High,SAR Filed,1,Customer 0775,Individual,United States,High,0,19612.67,Reviewed 14 transactions over a 180-day lookback. Observed activity inconsistent with profile indicators and 4 high-risk transactions. Customer KYC risk is high with case risk score 76.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0110,CUST10487,Rapid Movement of Funds,2026-08-19,60,4,37,7526.39,3,1,High-Risk Jurisdiction,75,High,Close - No Suspicion,0,Customer 0488,Business,India,Moderate,0,18617.86,Reviewed 37 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 3 high-risk transactions. Customer KYC risk is moderate with case risk score 75.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0111,CUST10449,Structuring / Cash Activity,2026-01-17,180,21,42,126197.47,5,4,Rapid Movement,71,High,Escalate for Additional Review,0,Customer 0450,Individual,United States,Moderate,0,58794.89,Reviewed 42 transactions over a 180-day lookback. Observed rapid movement indicators and 5 high-risk transactions. Customer KYC risk is moderate with case risk score 71.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0112,CUST10047,Structuring / Cash Activity,2026-05-21,90,20,51,78487.86,8,2,Rapid Movement,45,Low,Close - No Suspicion,0,Customer 0048,Individual,United States,Low,0,2420.64,Reviewed 51 transactions over a 90-day lookback. Observed rapid movement indicators and 8 high-risk transactions. Customer KYC risk is low with case risk score 45.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0113,CUST10242,Unusual Volume Increase,2026-03-16,180,36,119,20333.82,8,1,Unusual Volume,73,High,Close - No Suspicion,0,Customer 0243,Individual,United Kingdom,Moderate,0,11509.57,Reviewed 119 transactions over a 180-day lookback. Observed unusual volume indicators and 8 high-risk transactions. Customer KYC risk is moderate with case risk score 73.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0114,CUST10105,Business Activity Inconsistent with Profile,2026-07-08,180,9,29,19298.39,7,4,Structuring,69,High,Close - No Suspicion,0,Customer 0106,Business,Russia,High,0,5303.23,Reviewed 29 transactions over a 180-day lookback. Observed structuring indicators and 7 high-risk transactions. Customer KYC risk is high with case risk score 69.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0115,CUST10345,Structuring / Cash Activity,2026-06-08,180,33,41,60697.95,2,2,Funnel Activity,65,High,SAR Filed,1,Customer 0346,Business,Turkey,High,0,30267.6,Reviewed 41 transactions over a 180-day lookback. Observed funnel activity indicators and 2 high-risk transactions. Customer KYC risk is high with case risk score 65.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0116,CUST10170,Rapid Movement of Funds,2026-01-28,30,23,33,172248.93,8,1,Unusual Volume,53,Moderate,SAR Filed,1,Customer 0171,Individual,United Arab Emirates,Moderate,0,10953.99,Reviewed 33 transactions over a 30-day lookback. Observed unusual volume indicators and 8 high-risk transactions. Customer KYC risk is moderate with case risk score 53.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0117,CUST10146,High-Risk Wires,2026-06-02,90,41,51,148415.7,9,0,Unusual Volume,70,High,Close - No Suspicion,0,Customer 0147,Individual,Canada,High,0,6624.72,Reviewed 51 transactions over a 90-day lookback. Observed unusual volume indicators and 9 high-risk transactions. Customer KYC risk is high with case risk score 70.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0118,CUST10014,Business Activity Inconsistent with Profile,2026-06-16,90,15,43,41529.65,7,0,High-Risk Jurisdiction,51,Moderate,Close - No Suspicion,0,Customer 0015,Business,Nigeria,Moderate,0,21938.9,Reviewed 43 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 7 high-risk transactions. Customer KYC risk is moderate with case risk score 51.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0119,CUST10825,Unusual Volume Increase,2026-06-15,90,12,33,13102.83,1,2,High-Risk Jurisdiction,45,Low,Close - No Suspicion,0,Customer 0826,Individual,United States,Low,0,53175.34,Reviewed 33 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 1 high-risk transactions. Customer KYC risk is low with case risk score 45.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0120,CUST10529,Unusual Volume Increase,2026-09-04,60,44,13,60133.03,1,2,High-Risk Jurisdiction,45,Low,Close - No Suspicion,0,Customer 0530,Individual,India,Low,0,2409.88,Reviewed 13 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 1 high-risk transactions. Customer KYC risk is low with case risk score 45.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0121,CUST10614,Business Activity Inconsistent with Profile,2026-02-04,180,3,35,24432.89,7,1,Unusual Volume,73,High,Close - No Suspicion,0,Customer 0615,Individual,United States,Low,0,4830.87,Reviewed 35 transactions over a 180-day lookback. Observed unusual volume indicators and 7 high-risk transactions. Customer KYC risk is low with case risk score 73.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0122,CUST10142,Unusual Volume Increase,2026-05-09,180,27,68,13918.45,5,2,Funnel Activity,57,Moderate,Escalate for Additional Review,0,Customer 0143,Individual,Canada,Low,0,27306.02,Reviewed 68 transactions over a 180-day lookback. Observed funnel activity indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 57.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0123,CUST10110,Business Activity Inconsistent with Profile,2026-04-29,30,7,114,215150.43,6,5,Unusual Volume,67,High,SAR Filed,1,Customer 0111,Business,United States,Low,0,42814.74,Reviewed 114 transactions over a 30-day lookback. Observed unusual volume indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 67.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0124,CUST10896,High-Risk Wires,2026-03-27,90,43,19,79853.51,5,2,High-Risk Jurisdiction,68,High,Close - No Suspicion,0,Customer 0897,Individual,United States,Low,0,8309.22,Reviewed 19 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 68.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0125,CUST10141,High-Risk Wires,2026-07-08,60,41,81,8792.05,6,3,Structuring,77,High,SAR Filed,1,Customer 0142,Individual,Canada,Moderate,0,27963.07,Reviewed 81 transactions over a 60-day lookback. Observed structuring indicators and 6 high-risk transactions. Customer KYC risk is moderate with case risk score 77.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0126,CUST10008,High-Risk Wires,2026-01-05,90,15,118,22627.75,13,6,High-Risk Jurisdiction,53,Critical,Escalate for Additional Review,0,Customer 0009,Individual,United Arab Emirates,Low,0,12283.47,Reviewed 118 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 13 high-risk transactions. Customer KYC risk is low with case risk score 53.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0127,CUST10891,P2P / Funnel Activity,2026-08-13,90,42,34,133101.98,4,4,Unusual Volume,49,High,Escalate for Additional Review,0,Customer 0892,Individual,United States,Moderate,0,4572.78,Reviewed 34 transactions over a 90-day lookback. Observed unusual volume indicators and 4 high-risk transactions. Customer KYC risk is moderate with case risk score 49.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0128,CUST10035,P2P / Funnel Activity,2026-04-01,90,11,36,58683.28,3,5,High-Risk Jurisdiction,59,High,SAR Filed,1,Customer 0036,Individual,United States,High,0,32998.71,Reviewed 36 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 3 high-risk transactions. Customer KYC risk is high with case risk score 59.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0129,CUST10569,Business Activity Inconsistent with Profile,2026-09-09,90,27,85,384717.88,5,5,Activity Inconsistent with Profile,49,High,Close - No Suspicion,0,Customer 0570,Individual,Turkey,Moderate,0,1652.23,Reviewed 85 transactions over a 90-day lookback. Observed activity inconsistent with profile indicators and 5 high-risk transactions. Customer KYC risk is moderate with case risk score 49.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0130,CUST10756,Business Activity Inconsistent with Profile,2026-02-22,30,24,62,44547.03,6,7,Activity Inconsistent with Profile,70,Critical,Escalate for Additional Review,0,Customer 0757,Business,United States,Low,0,7139.27,Reviewed 62 transactions over a 30-day lookback. Observed activity inconsistent with profile indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 70.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0131,CUST10233,Rapid Movement of Funds,2026-07-25,90,30,37,50988.45,5,1,Unusual Volume,38,Low,Close - No Suspicion,0,Customer 0234,Individual,United States,Low,0,3980.74,Reviewed 37 transactions over a 90-day lookback. Observed unusual volume indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 38.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0132,CUST10494,Unusual Volume Increase,2026-07-26,60,23,31,240470.73,9,3,High-Risk Jurisdiction,64,Moderate,SAR Recommended,1,Customer 0495,Individual,United States,High,0,3553.81,Reviewed 31 transactions over a 60-day lookback. Observed high-risk jurisdiction indicators and 9 high-risk transactions. Customer KYC risk is high with case risk score 64.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0133,CUST10572,P2P / Funnel Activity,2026-07-29,60,7,8,198584.18,0,2,Funnel Activity,45,Low,Close - No Suspicion,0,Customer 0573,Individual,United States,Low,0,40789.61,Reviewed 8 transactions over a 60-day lookback. Observed funnel activity indicators and 0 high-risk transactions. Customer KYC risk is low with case risk score 45.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0134,CUST10759,Structuring / Cash Activity,2026-01-15,90,20,55,165987.04,3,3,High-Risk Jurisdiction,74,High,SAR Filed,1,Customer 0760,Individual,Mexico,Moderate,0,30891.42,Reviewed 55 transactions over a 90-day lookback. Observed high-risk jurisdiction indicators and 3 high-risk transactions. Customer KYC risk is moderate with case risk score 74.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0135,CUST10788,Business Activity Inconsistent with Profile,2026-09-05,90,14,46,469360.43,1,1,Funnel Activity,44,Low,Close - No Suspicion,0,Customer 0789,Individual,Russia,Moderate,0,16611.02,Reviewed 46 transactions over a 90-day lookback. Observed funnel activity indicators and 1 high-risk transactions. Customer KYC risk is moderate with case risk score 44.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0136,CUST10171,Unusual Volume Increase,2026-05-06,180,41,50,25227.95,11,5,Funnel Activity,58,High,SAR Recommended,1,Customer 0172,Business,China,Low,0,7775.81,Reviewed 50 transactions over a 180-day lookback. Observed funnel activity indicators and 11 high-risk transactions. Customer KYC risk is low with case risk score 58.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0137,CUST10075,Unusual Volume Increase,2026-03-31,180,30,91,30046.04,7,1,Unusual Volume,78,High,Close - No Suspicion,0,Customer 0076,Individual,United States,High,0,5649.92,Reviewed 91 transactions over a 180-day lookback. Observed unusual volume indicators and 7 high-risk transactions. Customer KYC risk is high with case risk score 78.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0138,CUST10496,High-Risk Wires,2026-02-10,60,44,103,48123.42,25,3,Rapid Movement,49,Low,SAR Filed,1,Customer 0497,Individual,United States,Moderate,0,12801.1,Reviewed 103 transactions over a 60-day lookback. Observed rapid movement indicators and 25 high-risk transactions. Customer KYC risk is moderate with case risk score 49.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0139,CUST10370,Unusual Volume Increase,2026-08-06,60,19,14,17408.08,2,5,Structuring,45,High,Close - No Suspicion,0,Customer 0371,Individual,United States,Low,0,27500.79,Reviewed 14 transactions over a 60-day lookback. Observed structuring indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 45.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0140,CUST10060,High-Risk Wires,2026-08-10,90,2,113,238344.2,23,2,Activity Inconsistent with Profile,67,High,Close - No Suspicion,0,Customer 0061,Business,Russia,Low,0,12451.23,Reviewed 113 transactions over a 90-day lookback. Observed activity inconsistent with profile indicators and 23 high-risk transactions. Customer KYC risk is low with case risk score 67.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0141,CUST10638,Rapid Movement of Funds,2026-05-29,30,35,49,221995.06,5,3,Structuring,56,Moderate,SAR Recommended,1,Customer 0639,Individual,United States,Low,0,8134.23,Reviewed 49 transactions over a 30-day lookback. Observed structuring indicators and 5 high-risk transactions. Customer KYC risk is low with case risk score 56.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
